"method","loc","cyclo","calls","nbd","param"
"org.jkiss.dbeaver.model.sql.completion.SQLCompletionAnalyzer.makeProposalsFromObject(DBPNamedObject object, boolean useShortName, @Nullable DBPImage objectIcon, @NotNull Map<String,Object> params)",97,26,58,7,4
"org.jkiss.dbeaver.ui.preferences.PrefPageDatabaseEditors$BooleanPanel.BooleanPanel(@NotNull Composite parent, @NotNull BooleanState state)",197,26,113,6,2
"org.jkiss.dbeaver.ui.controls.resultset.spreadsheet.SpreadsheetPresentation.pasteFromClipboard(@Nullable ResultSetPasteSettings settings)",134,26,54,6,1
"org.jkiss.dbeaver.ext.generic.model.GenericTableBase.loadReferences(DBRProgressMonitor monitor)",121,26,53,6,1
"org.jkiss.dbeaver.registry.maven.versioning.VersionRange.intersection(List<Restriction> r1, List<Restriction> r2)",101,26,60,5,2
"org.jkiss.dbeaver.ui.editors.sql.SQLMatchingCharacterPainter.paint(int reason)",98,26,37,5,1
"org.jkiss.dbeaver.tools.transfer.database.DatabaseMappingAttribute.updateMappingType(DBRProgressMonitor monitor, boolean forceRefresh)",83,26,44,5,2
"org.jkiss.dbeaver.model.sql.format.tokenized.SQLTokensParser.isSymbol(final char argChar)",31,26,0,5,1
"org.jkiss.dbeaver.model.sql.parser.SQLScriptParser.parseParameters(SQLParserContext context, int queryOffset, int queryLength)",115,25,47,11,3
"org.jkiss.dbeaver.registry.driver.DriverDescriptorSerializerModern.serialize(JsonWriter json, boolean export)",125,25,135,9,2
"org.jkiss.dbeaver.ui.controls.resultset.ResultSetViewer.addNewRow(final boolean copyCurrent, boolean afterCurrent, boolean updatePresentation)",134,25,41,8,3
"org.jkiss.dbeaver.ui.controls.resultset.ResultSetViewer$ResultSetDataPumpJob.afterDataRead()",104,25,55,8,0
"org.jkiss.dbeaver.ui.controls.resultset.ResultSetModel.updateRowColors(boolean reset, List<ResultSetRow> rows)",80,25,22,8,2
"org.jkiss.dbeaver.model.sql.completion.SQLCompletionAnalyzer.filterProposals(DBPDataSource dataSource)",71,25,47,7,1
"org.jkiss.dbeaver.ext.postgresql.PostgreUtils.getAttributePrecision(long typeOid, int typeMod)",60,25,1,7,2
"org.jkiss.dbeaver.tools.compare.simple.CompareReportRenderer.renderBody(DBRProgressMonitor monitor)",122,25,61,6,1
"org.jkiss.dbeaver.model.DBUtils.getObjectByPath(@NotNull DBRProgressMonitor monitor, @NotNull DBCExecutionContext executionContext, @NotNull DBSObjectContainer rootSC, @Nullable String catalogName, @Nullable String schemaName, @Nullable String objectName)",84,25,26,6,6
"org.jkiss.dbeaver.ui.controls.resultset.spreadsheet.SpreadsheetPresentation.parseGridLines(String strValue, boolean splitRows)",71,25,26,6,2
"org.jkiss.dbeaver.ui.editors.entity.properties.TabbedFolderPageForm.refreshProperties()",149,25,49,5,0
"org.jkiss.dbeaver.ext.generic.model.ForeignKeysCache.fetchObject(JDBCSession session, GenericStructContainer owner, GenericTableBase parent, String fkName, JDBCResultSet dbResult)",118,25,66,5,5
"org.jkiss.dbeaver.ui.navigator.actions.NavigatorHandlerObjectOpen.openEntityEditor(@NotNull DBNNode selectedNode, @Nullable String defaultPageId, @Nullable String defaultFolderId, @Nullable Map<String,Object> attributes, IWorkbenchWindow workbenchWindow, boolean activate)",99,25,43,5,6
"org.jkiss.dbeaver.tasks.ui.view.DatabaseTasksTree$TreeListContentProvider.getChildren(Object parentElement)",88,25,65,5,1
"org.jkiss.dbeaver.ui.controls.CSmartCombo.textEvent(Event event)",119,25,23,4,1
"org.jkiss.dbeaver.ui.editors.entity.EntityEditor.refreshPart(final Object source, boolean force, boolean showConfirmation)",71,25,33,4,3
"org.jkiss.dbeaver.model.sql.format.tokenized.SQLFormatterTokenized.insertSpaces(List<FormatterToken> argList)",44,25,32,4,1
"org.jkiss.dbeaver.ui.controls.resultset.ResultSetViewer.ResultSetViewer(@NotNull Composite parent, @NotNull IWorkbenchPartSite site, @NotNull IResultSetContainer container)",195,24,93,8,3
"org.jkiss.dbeaver.ui.controls.resultset.ResultSetViewer.fillContextMenu(@NotNull IMenuManager manager, @Nullable final DBDAttributeBinding attr, @Nullable final ResultSetRow row)",159,24,78,8,3
"org.jkiss.dbeaver.ext.generic.model.GenericDataSource.initialize(@NotNull DBRProgressMonitor monitor)",109,24,45,7,1
"org.jkiss.dbeaver.ui.editors.sql.syntax.SQLContextInformer$TablesFinderJob.run(DBRProgressMonitor monitor)",106,24,36,7,1
"org.jkiss.dbeaver.ui.editors.sql.syntax.SQLContextInformer.searchInformation(IRegion region)",105,24,42,7,1
"org.jkiss.dbeaver.ui.controls.resultset.spreadsheet.SpreadsheetPresentation.openValueEditor(final boolean inline)",121,24,56,6,1
"org.jkiss.dbeaver.ui.controls.resultset.spreadsheet.SpreadsheetPresentation.scrollToRow(@NotNull RowPosition position)",80,24,47,6,1
"org.jkiss.dbeaver.tools.transfer.stream.StreamTransferConsumer.translatePattern(String pattern, final File targetFile)",74,24,34,6,2
"org.jkiss.dbeaver.erd.ui.editor.ERDGraphicalViewer.handleDataSourceEvent(DBPEvent event)",154,24,54,5,1
"org.jkiss.dbeaver.model.sql.exec.SQLScriptProcessor.runScript(DBRProgressMonitor monitor)",75,24,32,5,1
"org.jkiss.dbeaver.ui.controls.lightgrid.GridCellRenderer.paint(GC gc, Rectangle bounds, boolean selected, boolean focus, Object col, Object row)",138,24,34,4,6
"org.jkiss.utils.ArgumentTokenizer.tokenize(String arguments, boolean stringify)",122,24,23,4,2
"org.jkiss.dbeaver.ui.navigator.database.DatabaseObjectsTreeManager.collectChildren(DBRProgressMonitor monitor, DBNNode element, final CollectInfo collectInfo, boolean onlyChecked)",66,23,19,7,4
"org.jkiss.dbeaver.ui.search.data.SearchDataQuery.findRows(@NotNull DBCSession session, @NotNull DBSDataContainer dataContainer, @NotNull TestDataReceiver dataReceiver)",118,23,33,6,3
"org.jkiss.dbeaver.tools.compare.simple.CompareObjectsExecutor.compareProperties(DBRProgressMonitor monitor, List<DBNDatabaseNode> nodes)",101,23,38,6,2
"org.jkiss.dbeaver.ext.postgresql.ui.editors.PostgresRolePrivilegesEditor.updateObjectPermissions(List<DBSObject> objects)",88,23,43,5,1
"org.jkiss.dbeaver.ui.controls.querylog.QueryLogViewer.updateMetaInfo(final List<QMMetaEvent> events)",63,23,27,5,1
"org.jkiss.dbeaver.ui.controls.CSmartCombo.listEvent(Event event)",105,23,20,4,1
"org.jkiss.dbeaver.ui.navigator.actions.NavigatorHandlerCopyAbstract.copySelection(IWorkbenchWindow workbenchWindow, IWorkbenchPart activePart, ISelection selection)",66,23,51,4,3
"org.jkiss.dbeaver.ui.controls.CustomTableEditor.keyTraversed(TraverseEvent e)",57,23,21,4,1
"org.jkiss.dbeaver.ui.controls.lightgrid.GridCellRenderer.isOverLink(GridColumn column, int row, int x, int y)",57,23,16,4,4
