"type","sloc","nom","npm","wmc","dep","i-dep","fan-in","fan-out","noa","lcom3"
"org.jkiss.dbeaver.ext.exasol.model.ExasolConsumerGroup",146,23,23,24,12,7,3,12,11,0.8140495867768596
"org.jkiss.dbeaver.ext.oracle.model.plan.OracleExecutionPlan",146,10,9,23,19,13,2,15,8,0.6111111111111112
"org.jkiss.dbeaver.ui.controls.StringEditorTable",146,10,8,8,19,7,2,10,0,0.0
"org.jkiss.dbeaver.ext.greenplum.model.GreenplumTableTest",146,8,6,8,19,5,0,7,13,0.14285714285714285
"org.jkiss.dbeaver.ui.data.registry.ValueManagerDescriptor",146,6,5,44,15,9,1,13,18,0.0
"org.jkiss.dbeaver.ext.import_config.wizards.dbvis.ConfigImportWizardPageDbvis",146,3,0,31,16,11,1,14,7,0.0
"org.jkiss.dbeaver.ui.preferences.WizardPrefPage",145,19,19,27,15,2,4,6,2,1.0
"org.jkiss.dbeaver.ext.db2.model.DB2XMLSchema",145,17,17,17,23,9,2,11,15,0.6208333333333333
"org.jkiss.dbeaver.ext.oracle.model.OracleTableForeignKey",145,12,12,19,16,11,4,15,3,0.9090909090909091
"org.jkiss.dbeaver.ext.oracle.ui.editors.OracleSessionEditor",145,12,7,11,25,14,0,18,5,0.8181818181818182
"org.jkiss.dbeaver.model.impl.jdbc.data.JDBCContentXML",145,11,9,23,18,11,2,13,2,0.95
"org.jkiss.dbeaver.tools.transfer.stream.exporter.DataExporterTXT",145,9,4,36,16,10,0,18,16,0.0625
"org.jkiss.dbeaver.ui.actions.datasource.DataSourceInvalidateHandler",145,7,5,15,26,15,1,19,1,1.0
"org.jkiss.dbeaver.ext.oracle.model.OracleBaseTableTest",145,7,7,8,23,14,0,15,9,0.3333333333333333
"org.jkiss.dbeaver.debug.ui.DatabaseLaunchContributionItem",145,6,3,32,22,2,0,5,4,0.9
"org.jkiss.dbeaver.ext.test.tools.LockGeneratorOracle",145,3,3,10,6,0,0,9,4,0.25
"org.jkiss.dbeaver.ext.generic.model.GenericTableColumn",144,17,17,20,13,7,21,12,5,0.875
"org.jkiss.dbeaver.ext.exasol.ui.config.ExasolUserDialog",144,10,8,13,15,4,1,6,6,0.7222222222222222
"org.jkiss.dbeaver.ext.mysql.tools.MySQLExportWizardPageSettings",144,6,5,9,17,10,1,12,12,0.0
"org.jkiss.dbeaver.model.virtual.DBVModelSerializerModern",144,2,0,28,10,6,0,8,1,1.0
